DEB [20240408-07:52:16.157] thr=1   paramiko.transport: starting thread (client mode): 0x178b7820
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256', 'kex-strict-s-v00@openssh.com'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: Strict kex mode: True
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20240408-07:52:23.236] thr=2   paramiko.transport: Compression agreed: none
DEB [20240408-07:52:23.432] thr=2   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20240408-07:52:23.432] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20240408-07:52:23.432] thr=2   paramiko.transport: Switch to new keys ...
DEB [20240408-07:52:23.432] thr=2   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20240408-07:52:23.858] thr=2   paramiko.transport: userauth is OK
DEB [20240408-07:52:24.062] thr=2   paramiko.transport: Authentication type (password) not permitted.
DEB [20240408-07:52:24.062] thr=2   paramiko.transport: Allowed methods: ['publickey']
DEB [20240419-22:29:42.283] thr=1   paramiko.transport: starting thread (client mode): 0x9c913ca0
DEB [20240419-22:29:42.284] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20240419-22:29:42.485] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.11
INF [20240419-22:29:42.485] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256', 'kex-strict-s-v00@openssh.com'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: Strict kex mode: True
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20240419-22:29:42.690] thr=1   paramiko.transport: Compression agreed: none
DEB [20240419-22:29:43.005] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:29:43.005] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20240419-22:29:43.005] thr=1   paramiko.transport: Switch to new keys ...
DEB [20240419-22:29:43.005] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:54:53.904] thr=1   paramiko.transport: starting thread (client mode): 0xe1ee9ca0
DEB [20240419-22:54:53.904] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20240419-22:54:54.106] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.11
INF [20240419-22:54:54.106] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256', 'kex-strict-s-v00@openssh.com'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: Strict kex mode: True
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20240419-22:54:54.315] thr=1   paramiko.transport: Compression agreed: none
DEB [20240419-22:54:54.620] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:54:54.620] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20240419-22:54:54.621] thr=1   paramiko.transport: Switch to new keys ...
DEB [20240419-22:54:54.621] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:55:02.607] thr=2   paramiko.transport: starting thread (client mode): 0xe1ef78e0
DEB [20240419-22:55:02.608] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.6.0
DEB [20240419-22:55:02.830] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.11
INF [20240419-22:55:02.830] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_8.2p1)
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: kex algos:['curve25519-sha256', 'curve25519-sha256@libssh.org', 'ecdh-sha2-nistp256', 'ecdh-sha2-nistp384', 'ecdh-sha2-nistp521', 'diffie-hellman-group-exchange-sha256', 'diffie-hellman-group16-sha512', 'diffie-hellman-group18-sha512', 'diffie-hellman-group14-sha256', 'kex-strict-s-v00@openssh.com'] server key:['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa', 'ecdsa-sha2-nistp256', 'ssh-ed25519'] client encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] server encrypt:['chacha20-poly1305@openssh.com', 'aes128-ctr', 'aes192-ctr', 'aes256-ctr', 'aes128-gcm@openssh.com', 'aes256-gcm@openssh.com'] client mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] server mac:['umac-64-etm@openssh.com', 'umac-128-etm@openssh.com', 'hmac-sha2-256-etm@openssh.com', 'hmac-sha2-512-etm@openssh.com', 'hmac-sha1-etm@openssh.com', 'umac-64@openssh.com', 'umac-128@openssh.com', 'hmac-sha2-256', 'hmac-sha2-512', 'hmac-sha1'] client compress:['none', 'zlib@openssh.com'] server compress:['none', 'zlib@openssh.com'] client lang:[''] server lang:[''] kex follows?False
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: Strict kex mode: True
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: Kex agreed: curve25519-sha256@libssh.org
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: HostKey agreed: ecdsa-sha2-nistp256
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20240419-22:55:03.011] thr=2   paramiko.transport: Compression agreed: none
DEB [20240419-22:55:03.260] thr=2   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:55:03.260] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20240419-22:55:03.260] thr=2   paramiko.transport: Switch to new keys ...
DEB [20240419-22:55:03.260] thr=2   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20240419-22:55:03.835] thr=2   paramiko.transport: userauth is OK
DEB [20240419-22:55:04.060] thr=2   paramiko.transport: Authentication type (password) not permitted.
DEB [20240419-22:55:04.060] thr=2   paramiko.transport: Allowed methods: ['publickey']
